respond	context_0
I think this is the most uncomfortable conversation I've ever had!	I can tell, because I've seen you look at mine. Um, not in a sleazy way, or anything....
I stand corrected! You're my best friend's girlfriend!	You wanna touch one?
I'm afraid so....	Ah, so your instinct is to pass on this fantastic one-time offer?
Oh, sorry.	I'm up here, Bambi.
Well, what am I supposed to do, though?	See, with Ben it's one of two things: Either your instincts are right, or your brain is trying to protect you from something. I'd say you have pretty good instincts. Trust them.
The Hematopathologist.	You know there's only one more person to talk to.
Hello?	The Hematopathologist.
You go by your first name?	Call me Dr. Bob.
"Fred Bob"?	No, first name's Fred.
Hi, I w I was hoping that you could recheck Ben Sullivan's blood smear.	What can I do you for?
I kinda wish you did.	Well, that depends, young man. Do you actually think I made a mistake, or do you just wish I did?
Sticking with the "weird" thing, huh?	Argh! You could hang a freakin' raincoat off my nipples.... Left one at least, only the right one's just a little shy.
No, we wouldn't.	It works for me.Listen, um, you guys wouldn't be keeping me here if there wasn't something potentially wrong with me, would you?
Oh, my God....	Hey! I wanted to ask you, um, how come this guy's always, like, following you in the pictures?
Yeah.	Him.You want to see the rest of the pictures I took today?
These are good, man!Ben, good news, man!	Look at that one.
It was weird how everyone had come to see Ben off.	Come on.
After all, he had only been here one day, and there wasn't even anything wrong with him.	Everybody in?
Wait, why would you want a picture like that? I thought you said that posed pictures aren't real?	After all, he had only been here one day, and there wasn't even anything wrong with him.
What do you mean?	Come on, J.D. None of this is real. You know that.
I kinda wish you did.	Do you actually think I made a mistake, or do you just wish I did?
Uh, yeah.Ben, you have leukemia.	Let's try this again: Are those the test results?
...Yeah....	Well, that sucks.
Uh, I know the nurses call you Sir Plunge-A-Lot.	What's my name?
Ah, come on, I'm sure you don't know my name, so	I know.
How'd you know my middle name?	John Michael Dorian.
Today seems like a good day to hide out in one of my patient's rooms.	Because I care!
Unless, of course, my patient is missing.	You, my friend, are an incompetent fool.
I don't	Where's my brother?
I... think it's great that you're going back to school!	Oh, oh, if you say "I don't know," I'll show you what I learned last week in my crotch-punching class!
Jordan, he found out he had leukemia yesterday. It's life-changing news. You can't be surprised if he's a little depressed.	Why would he wander off? Oh! Maybe he went to a real hospital!
Ben, put the small children down.	Hey, Doc, this guy's got something on his shoulder you might want to take a look at!
No, Ben. Ben! Okay, okay...	Anybody missing one of these?
No, Ben! Ben, seriously! Ben! Not funny! Ben, stop! Ben, put me down. Ben! Fasterrrr! Whooooooo! Ha ha ha ha ha! Eeeee-eagle! Whooo hoooo!	You heard the good doctor. Come on, you'll have to sit this one out. You know, my hands are free which leaves me to do... this!
I don't like that much freedom down there. Makes me tingle in my giblets.	Ha ha, the sweatpants years.
I'm a good intern, but when you're dealing with disease and family, an intern just doesn't cut it. What you need......Is a hero.	I swear, if you don't start taking this seriously...
But I didn't even say anything.	Shut up. Shut up. And definitely shut up.
I hear you, Dr. Cox!	I know, but I enjoy saying it to you. Okay, here's the deal. If we're gonna beat this thing, and we damn sure are, we're gonna do it one way and one way only. We're gonna be a team! We're gonna be a team, team, team, team, team! You hear me?
I'm sorry. I got very excited. Go! Heh.	I am so not speaking to you, Rhonda, thank you!
Wow. He did it!	Go, Team Cancer!
No problem!Uh... got him to put his gown on.	Now, do you think you can make Ben behave like a patient or not?
Antonio played by the actor Tony Shalhoub. Also particularly fantastic in a film called "Big Night.""	"Wings." And shut up, I like the cab driver. He... slays me.
I didn't care about the abuse. The most amazing thing for me was to watch how Dr. Cox dealt with his friend. How he made him feel safe.	Congratulations! Your Dimaggio-like streak for saying nothing even remotely interesting is still alive and well!
You are such a stud!	Gotcha.
So you used your key to get into my personnel file. Big deal.	Your mother's maiden name is Turner.
How could you possibly know that?	Your first kiss was with Sarah Briggs at the embarrassing age of sixteen. She wore a green turtleneck, and you wonder sometimes if she still thinks about you. I'm guessing no.
Ted, you probably don't notice it yourself, but this hospital is a freak show!	Morning, Dr. Dorian.
That's that's just great.	Hmmmm-mmm!
No, I'm Kimmy!	Oh, uh, am I Kimmy?
Around here, bad news always comes back to haunt you.	Nobody got one.
Dr. Cox, Ben seemed pretty down after you left so I thought I could cover for you and you could go hang out with him.	The periampullary carcinoma patient had a failed palliatitive stenting of the common bile duct so this is what I want to do. I want to go ahead and prep him for a pyloris sparing pancreaticoduodenectomy. Thanks.What's up, T-Man?! Show The Todd some love!
Oh, I don't mind, I just	Well, you're just an absolute lamb but you don't have to do that.
It's funny how people handle bad news in different ways.Some people have a visceral reaction...	Newbie, stop!
Some people go into denial...	Time to get my soapy soap on!
And others...	No way.
...Others just walk away.Chemotherapy looks harmless, but it's really poison pumped directly into your veins.	What chance do you give a guy with Ben's blast percentage, huh? Twenty percent, thirty, maybe? You see, I can't handle that. I cannot. So, no thank you there, Johnny.
The Earth Mover! Can I see?	So where's my Tonka truck?Ha ha! Score!
This is the true story...	I can't believe Perry bailed on you. Typical. He's always out the door if things get too real.
He didn't bail.	And start being realllll!
That's not uncommon.	You're afraid of escalators.
How are you doing this?	You like the way cashmere feels on your skin!
Look, Dr. Cox, I've been doing a lot of thinking and I honestly think that the only reason you're not down at that hospital right now is that you're afraid.	That's right! You run away! Run away from the truth!
You gotta get back in the game, Coxie!Okay, Coxie was a mistake. Pretend I didn't say Coxie.	I think you're right. I do. Partly because you've really... gotten to know me this year.But mostly it's because, well... I told you that I was afraid earlier today so please don't tell me that you've come here to reiterate things to me that I've already said because I know the things I've already said. In fact... I'm the one who said them.
Look, it boggles my mind that you just bail on a patient!	Geeeet out.
I think one of the most universal human experiences is feeling alone. You'd never know it, but there's most likely tons of people feeling the exact same way.Maybe because you're feeling abandoned.Maybe because you realize that you aren't as self-sufficient as you thought.Maybe because you know you should've handled something differently.Or maybe because you aren't as good as you thought you were. Either way, when you hit that low point, you have a choice. You can either wallow in self-pity......Or you can suck it up. It's your call.	No. A patient is a stranger in a bed that you can distance yourself from whenever you need to. Ben is my friend and I'm going to try to get in there to visit him in the next couple of weeks but if I can't... that'll be very sad for me. But really... it will just mean that I'm human. Oh, and newbie? Please don't think that you have come here because Ben needs me. You're here because you're scared to death that you might have to rely on yourself for the first time ever and that... that is just the saddest thing of all.
As for me, I decided that if Dr. Cox couldn't do it, well then I would have to be the one there for Ben.	You're mean.
Well, thank God.	Bum bum bum... when criminals in this world appear and break the laws that they should fear / And frighten all who see or hear / The cry goes up both far and near / For Underdog! / Underdog / Underdog / Underdog / Speed of light, roar of thunder / Fight all who rob or plunder / Underdog! / Ahhhh! Underdog! Underdog!
