respond	context_0	context_1	context_2
And hopefully, you'll land on solid ground	You're the husband? We've gotta get you some bigger hands.	I like to think that your life comes down to the choices you've made along the way.Like standing up to a superior.Or the choice to focus on what you have in common, instead of what you don't.Or the choice to let someone help you, for once.In the end, you just have to trust your decisions.	I know.Look, I wanna be like you...but a more successful you. There's nothing wrong with playing the game once in a while.Tell you what: Ten years form now, when I'm your boss, I'll go ahead and throw in a good word for you and you won't even have to ask........sir.
But you cried!	I like the old one.	Well what about your new mop?!	And hopefully, you'll land on solid ground
Glup.That's a good one.	No, that was you.	But you cried!	I like the old one.
"Eat-may" sounds like "eat me."	What?	We're a team.	That's right.
Clearly we're on the same page.	You know?	Eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee!	Can you believe that!? I mean, every time we even try to talk to him, he starts going off on one of these random tangents and....
Maybe if you wore your hair up?	We're residents now, we should be treated more like colleagues, and I can't even get him to notice me.Oh, God! Oh! Uh! Sorry, sorry, sorry!	Clearly we're on the same page.	You know?
Let me explain, I	Yes, that's it. I'm a janitor, so I couldn't think of the word "sad." I was gonna say, It makes me feel so "mop."	Sad?	I always get this way in the fall, you know summer's gone, the days are shorter; it just makes me feel so...what's the word....
Maybe I shouldn't bother.	Go ahead, I'm "mopping."	Let me explain, I	Yes, that's it. I'm a janitor, so I couldn't think of the word "sad." I was gonna say, It makes me feel so "mop."
I guess after a while, you just stop being surprised by people.	Maybe you "mopn't."	Maybe I shouldn't bother.	Go ahead, I'm "mopping."
That is adorable. Do you think he'd mind if I call him that, too?	That's my pet-name for Turk you know, 'cause he's mine and he's a black man: "My bruthah."	I didn't know you had a brother.	Oh, cool.
I know. I'm still gonna ask. So, how come I don't know anything about your family?	J.D., I was kidding.	That is adorable. Do you think he'd mind if I call him that, too?	That's my pet-name for Turk you know, 'cause he's mine and he's a black man: "My bruthah."
But you know everything about me. You even know I have them switch Lauren's shifts so we always end up working together.	I don't know. I g I'm just not big on sharing my personal life with people.	I know. I'm still gonna ask. So, how come I don't know anything about your family?	J.D., I was kidding.
Catch you later, my bruthah!	Whatever. I'm out.	Not entirely unlike a...ninja!	I think you should give Bonnie a break. You know, it's really hard being a woman around here...you can walk through walls and nobody notices you.
He said "Holla."	I'll holla.	Catch you later, my bruthah!	Whatever. I'm out.
I think I can handle it.	Okay. You want in? You want me to open up?	Rough day, huh? Well, maybe it would help to share...with someone?	Atta boy.
Wow.	Fine!I don't like the way I look. I don't like the way I think. I don't like the way I feel about how I look. ...I have too much hair, my boobs are too low, my butt is too big, and I'm so short!Plus, when I work up this morning, I cried for like half an hour because I thought I was getting wrinkles, but it turns out I just fell asleep on Turk's corduroy pants!	I think I can handle it.	Okay. You want in? You want me to open up?
He's not! That's his "In your face" dance.... Or it's his "There's a sale on lotion" dance. I dunno; he's got so many dances.	Then why is he doing his "You're so getting a piece of this" dance?	What, Turk and Bonnie? They hate each other.	You see, that's what's really bothering me.
Carla! Trust me, there's no way that he's cheating on you.	Please, they might as well be naked. Slut.	He's not! That's his "In your face" dance.... Or it's his "There's a sale on lotion" dance. I dunno; he's got so many dances.	Then why is he doing his "You're so getting a piece of this" dance?
Wait, that's it? You were just freakin' out.	Yeah, you're probably right.	Carla! Trust me, there's no way that he's cheating on you.	Please, they might as well be naked. Slut.
Crazy!	Hey, you wanted in!	Wait, that's it? You were just freakin' out.	Yeah, you're probably right.
What's wrong with him?	A lot happens in the cafeteria.... Whether you've just accidentally stolen your lunch....Or you've finally gotten someone to notice you....Or you've connected with a friend on a level you didn't know you could.The cafeteria is just a happy place.	Oh, thank God.	J.D.!
A little can...a very tiny, small can.	J.D. said you're a big ol' can o' crazy.	Hey, when did you guys learn sign language!?Night classes? Wait, when did _I_ learn sign language?	Mm-hmm.
Ah, thank you!	Bambi. We're good, okay? We're pals!	Carla, look, I messed up and I'm so sorry.	Okay, you can fix this.
Well, don't walk away! Carla...come on.	I told you how hard it is for me to let my guard down, and that quick, you burn me. Never again.	Come on....	You think this is funny?
Quiet; this isn't about you! Don't eat meat!Carla! Look, every time you screwed up with me, I've totally let you off the hook.	Thanks, man.	Will you lay off Mr. Hogan? So he made a mistake, all right, people make mistakes. When they do, it wouldn't hurt you to cut them some slack once in a while.	That's it, I've I've had enough. This is ridiculous.
Okay, never. But we both know that if you ever did, I would give you a break. Now let's see how you like it when I walk away from you.Actually, I need to go this way.Right the first time.	When have I ever screwed up with you?	Quiet; this isn't about you! Don't eat meat!Carla! Look, every time you screwed up with me, I've totally let you off the hook.	Thanks, man.
Really?	I spoke to my brother today.	I think every day is made up of tiny little tests.Some are tests of character.Some are tests of fortitude.Others are tests of friendship.	Barbie, as long as you stay and work at this hospital, I'm always gonna be your superior.... That's just the way it goes. Don't get me wrong, you can keep trying to connect with me; I mean, hell, you're...you're so damn entertaining you just might make some head-way. But still, you might be better served and, this is a crazy notion if you could stop worrying so much about who does and doesn't notice...you. Even for a second...that'd be good; that'd be real good.
And if you're lucky, when it really matters, you'll pass with flying colors.	Mm-hmm. He's having some problems.	Really?	I spoke to my brother today.
Well, I look doctorly!	Look, Babs, if you're truly worried about people seeing your ass, just go ahead and do what all the other girls do and tie a sweater around your waist.	'Cause I'm a doctor.	Why...in the hell are you wearing a coat?
Coat-wearing doctors do not take this crap.	If I find out you're wearing a bronzie, without having served, I'm gonna make things uncomfortable for you.	Where did you come from!?	I was in the military.
Which branch?	Yes, I was.	You were never in the military.	Coat-wearing doctors do not take this crap.
I'm watching you.That's right, Sasquatch.	The...janitor branch.	Which branch?	Yes, I was.
I think I look spiffy. I'm trying to separate myself from the whole pack.	Dude, you are such a loser, man.	Most importantly, we've started to treat each other with respect.	Ohhh, sweet baby James.
I ain't hearin' that, woman, 'cause I'm talkin' to him.	Oh, come on, J.D.'s white!	Yeah, you are.	The whitest.
T. Diddy?	Okay, it's a tie.	I ain't hearin' that, woman, 'cause I'm talkin' to him.	Oh, come on, J.D.'s white!
And then, I did something I've never done before....	Listen closely, Tiny Dancer: I wouldn't be flapping my mouth if I'd forgotten to get a blood culture on Mr. Blair. And, for the love of God, do you at least remember what you were doing the day they were passing out common sense? Oh, gosh, maybe you were running late that day 'cause you just couldn't find the right thong for those low-rider jeans that you love so much, or maybe you were busy bopping along to whatever boy band really makes your heart race nowadays, and you just drove on by. 'Course, I don't know, I'm just guessing, but one things' sure-shootin': you wound up at the dumb-dumb store and you just went ahead and put so much of that into the car that you could fit, didn't ya?	Idiot! I wish I had a guy in my life that would stop me before I did something stupid.I don't know why he's an opera singer.	Think you really got through to him.Oh, my God, you hear like a bat!
